%
Copyright (C) 1991-2013 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.
%

GROUP CREATE uart:u_uart0|i_wb_dat[7..0] = uart:u_uart0|i_wb_dat[7] uart:u_uart0|i_wb_dat[6] uart:u_uart0|i_wb_dat[5] uart:u_uart0|i_wb_dat[4] uart:u_uart0|i_wb_dat[3] uart:u_uart0|i_wb_dat[2] uart:u_uart0|i_wb_dat[1] uart:u_uart0|i_wb_dat[0] ;
INPUTS brd_clk_p;
OUTPUTS i_uart0_tx o_uart0_rx uart:u_uart0|tx_bit_pulse uart:u_uart0|i_wb_dat[7..0];
UNIT ns;
RADIX HEX;
PATTERN
             0.0> 0 = X X X XX 
  143500000000.0> 1 = 1 1 0 00 
  144000000000.0> 0 = 1 1 0 00 
  144500000000.0> 1 = 1 1 0 00 
  145000000000.0> 0 = 1 1 0 00 
  145500000000.0> 1 = 1 1 0 00 
  146000000000.0> 0 = 1 1 0 00 
  146500000000.0> 1 = 1 1 0 00 
  147000000000.0> 0 = 1 1 0 00 
  147500000000.0> 1 = 1 1 0 00 
  148000000000.0> 0 = 1 1 0 00 
  148500000000.0> 1 = 1 1 0 00 
  149000000000.0> 0 = 1 1 0 00 
  149500000000.0> 1 = 1 1 0 00 
  150000000000.0> 0 = 1 1 0 00 
  150500000000.0> 1 = 1 1 0 00 
  151000000000.0> 0 = 1 1 0 00 
  151500000000.0> 1 = 1 1 0 00 
  152000000000.0> 0 = 1 1 0 00 
  152500000000.0> 1 = 1 1 0 00 
  153000000000.0> 0 = 1 1 0 00 
  153500000000.0> 1 = 1 1 0 00 
  154000000000.0> 0 = 1 1 0 00 
  154500000000.0> 1 = 1 1 0 00 
  155000000000.0> 0 = 1 1 0 00 
  155500000000.0> 1 = 1 1 0 00 
  156000000000.0> 0 = 1 1 0 00 
  156500000000.0> 1 = 1 1 0 00 
  157000000000.0> 0 = 1 1 0 00 
  157500000000.0> 1 = 1 1 0 00 
  158000000000.0> 0 = 1 1 0 00 
  158500000000.0> 1 = 1 1 0 00 
  159000000000.0> 0 = 1 1 0 00 
  159500000000.0> 1 = 1 1 0 00 
  160000000000.0> 0 = 1 1 0 00 
  160500000000.0> 1 = 1 1 0 00 
  161000000000.0> 0 = 1 1 0 00 
  161500000000.0> 1 = 1 1 0 00 
  162000000000.0> 0 = 1 1 0 00 
  162500000000.0> 1 = 1 1 0 00 
  163000000000.0> 0 = 1 1 0 00 
  163500000000.0> 1 = 1 1 0 00 
  164000000000.0> 0 = 1 1 0 00 
  164500000000.0> 1 = 1 1 0 00 
  165000000000.0> 0 = 1 1 0 00 
  165500000000.0> 1 = 1 1 0 00 
  166000000000.0> 0 = 1 1 0 00 
  166500000000.0> 1 = 1 1 0 00 
  167000000000.0> 0 = 1 1 0 00 
  167500000000.0> 1 = 1 1 0 00 
  168000000000.0> 0 = 1 1 0 00 
  168500000000.0> 1 = 1 1 0 00 
  169000000000.0> 0 = 1 1 0 00 
  169500000000.0> 1 = 1 1 0 00 
  170000000000.0> 0 = 1 1 0 00 
  170500000000.0> 1 = 1 1 0 00 
  171000000000.0> 0 = 1 1 0 00 
  171500000000.0> 1 = 1 1 0 00 
  172000000000.0> 0 = 1 1 0 00 
  172500000000.0> 1 = 1 1 0 00 
  173000000000.0> 0 = 1 1 0 00 
  173500000000.0> 1 = 1 1 0 00 
  174000000000.0> 0 = 1 1 0 00 
  174500000000.0> 1 = 1 1 0 00 
  175000000000.0> 0 = 1 1 0 00 
  175500000000.0> 1 = 1 1 0 00 
  176000000000.0> 0 = 1 1 0 00 
  176500000000.0> 1 = 1 1 0 00 
  177000000000.0> 0 = 1 1 0 00 
  177500000000.0> 1 = 1 1 0 00 
  178000000000.0> 0 = 1 1 0 00 
  178500000000.0> 1 = 1 1 0 00 
  179000000000.0> 0 = 1 1 0 00 
  179500000000.0> 1 = 1 1 0 00 
  180000000000.0> 0 = 1 1 0 00 
  180500000000.0> 1 = 1 1 0 00 
  181000000000.0> 0 = 1 1 0 00 
  181500000000.0> 1 = 1 1 0 00 
  182000000000.0> 0 = 1 1 0 00 
  182500000000.0> 1 = 1 1 0 00 
  183000000000.0> 0 = 1 1 0 00 
  183500000000.0> 1 = 1 1 0 00 
  184000000000.0> 0 = 1 1 0 00 
  184500000000.0> 1 = 1 1 0 00 
  185000000000.0> 0 = 1 1 0 00 
  185500000000.0> 1 = 1 1 0 00 
  186000000000.0> 0 = 1 1 0 00 
  186500000000.0> 1 = 1 1 0 00 
  187000000000.0> 0 = 1 1 0 00 
  187500000000.0> 1 = 1 1 0 00 
  188000000000.0> 0 = 1 1 0 00 
  188500000000.0> 1 = 1 1 0 00 
  189000000000.0> 0 = 1 1 0 00 
  189500000000.0> 1 = 1 1 0 00 
  190000000000.0> 0 = 1 1 0 00 
  190500000000.0> 1 = 1 1 0 00 
  191000000000.0> 0 = 1 1 0 00 
  191500000000.0> 1 = 1 1 0 00 
  192000000000.0> 0 = 1 1 0 00 
  192500000000.0> 1 = 1 1 0 00 
  193000000000.0> 0 = 1 1 0 00 
  193500000000.0> 1 = 1 1 0 00 
  194000000000.0> 0 = 1 1 0 00 
  194500000000.0> 1 = 1 1 0 00 
  195000000000.0> 0 = 1 1 0 00 
  195500000000.0> 1 = 1 1 0 00 
  196000000000.0> 0 = 1 1 0 00 
  196500000000.0> 1 = 1 1 0 00 
  197000000000.0> 0 = 1 1 0 00 
  197500000000.0> 1 = 1 1 0 00 
  198000000000.0> 0 = 1 1 0 00 
  198500000000.0> 1 = 1 1 0 00 
  199000000000.0> 0 = 1 1 0 00 
  199500000000.0> 1 = 1 1 0 00 
  200000000000.0> 0 = 1 1 0 00 
  200500000000.0> 1 = 1 1 0 00 
  201000000000.0> 0 = 1 1 0 00 
  201500000000.0> 1 = 1 1 0 00 
  202000000000.0> 0 = 1 1 0 00 
  202500000000.0> 1 = 1 1 0 00 
  203000000000.0> 0 = 1 1 0 00 
  203500000000.0> 1 = 1 1 0 00 
  204000000000.0> 0 = 1 1 0 00 
  204500000000.0> 1 = 1 1 0 00 
  205000000000.0> 0 = 1 1 0 00 
  205500000000.0> 1 = 1 1 0 00 
  206000000000.0> 0 = 1 1 0 00 
  206500000000.0> 1 = 1 1 0 00 
  207000000000.0> 0 = 1 1 0 00 
  207500000000.0> 1 = 1 1 0 00 
  208000000000.0> 0 = 1 1 0 00 
  208500000000.0> 1 = 1 1 0 00 
  209000000000.0> 0 = 1 1 0 00 
  209500000000.0> 1 = 1 1 0 00 
  210000000000.0> 0 = 1 1 0 00 
  210500000000.0> 1 = 1 1 0 00 
  211000000000.0> 0 = 1 1 0 00 
  211500000000.0> 1 = 1 1 0 00 
  212000000000.0> 0 = 1 1 0 00 
  212500000000.0> 1 = 1 1 0 00 
  213000000000.0> 0 = 1 1 0 00 
  213500000000.0> 1 = 1 1 0 00 
  214000000000.0> 0 = 1 1 0 00 
  214500000000.0> 1 = 1 1 0 00 
  215000000000.0> 0 = 1 1 0 00 
  215500000000.0> 1 = 1 1 0 00 
  216000000000.0> 0 = 1 1 0 00 
  216500000000.0> 1 = 1 1 0 00 
  217000000000.0> 0 = 1 1 0 00 
  217500000000.0> 1 = 1 1 0 00 
  218000000000.0> 0 = 1 1 0 00 
  218500000000.0> 1 = 1 1 0 00 
  219000000000.0> 0 = 1 1 0 00 
  219500000000.0> 1 = 1 1 0 00 
  220000000000.0> 0 = 1 1 0 00 
  220500000000.0> 1 = 1 1 0 00 
  221000000000.0> 0 = 1 1 0 00 
  221500000000.0> 1 = 1 1 0 00 
  222000000000.0> 0 = 1 1 0 00 
  222500000000.0> 1 = 1 1 0 00 
  223000000000.0> 0 = 1 1 0 00 
  223500000000.0> 1 = 1 1 0 00 
  224000000000.0> 0 = 1 1 0 00 
  224500000000.0> 1 = 1 1 0 00 
  225000000000.0> 0 = 1 1 0 00 
  225500000000.0> 1 = 1 1 0 00 
  226000000000.0> 0 = 1 1 0 00 
  226500000000.0> 1 = 1 1 0 00 
  227000000000.0> 0 = 1 1 0 00 
  227500000000.0> 1 = 1 1 0 00 
  228000000000.0> 0 = 1 1 0 00 
  228500000000.0> 1 = 1 1 0 00 
  229000000000.0> 0 = 1 1 0 00 
  229500000000.0> 1 = 1 1 0 00 
  230000000000.0> 0 = 1 1 0 00 
  230500000000.0> 1 = 1 1 0 00 
